Date,Day,DateCode,Nday,Min
1/1/2022,1,0,NA,NA
1/2/2022,2,0,NA,NA
1/3/2022,3,0,NA,NA
1/4/2022,4,0,NA,NA
1/5/2022,5,0,NA,NA
1/6/2022,6,0,NA,NA
1/7/2022,7,0,NA,NA
1/8/2022,8,0,NA,NA
1/9/2022,9,0,NA,NA
1/10/2022,10,0,NA,NA
1/11/2022,11,0,NA,NA
1/12/2022,12,0,NA,NA
1/13/2022,13,0,NA,NA
1/14/2022,14,0,NA,NA
1/15/2022,15,0,NA,NA
1/16/2022,16,0,NA,NA
1/17/2022,17,0,NA,NA
1/18/2022,18,0,NA,NA
1/19/2022,19,0,NA,NA
1/20/2022,20,0,NA,NA
1/21/2022,21,0,NA,NA
1/22/2022,22,0,NA,NA
1/23/2022,23,0,NA,NA
1/24/2022,24,0,NA,NA
1/25/2022,25,0,NA,NA
1/26/2022,26,0,NA,NA
1/27/2022,27,0,NA,NA
1/28/2022,28,0,NA,NA
1/29/2022,29,0,NA,NA
1/30/2022,30,0,NA,NA
1/31/2022,31,0,NA,NA
2/1/2022,32,0,NA,NA
2/2/2022,33,0,NA,NA
2/3/2022,34,0,NA,NA
2/4/2022,35,0,NA,NA
2/5/2022,36,0,NA,NA
2/6/2022,37,0,NA,NA
2/7/2022,38,0,NA,NA
2/8/2022,39,0,NA,NA
2/9/2022,40,0,NA,NA
2/10/2022,41,0,NA,NA
2/11/2022,42,0,NA,NA
2/12/2022,43,0,NA,NA
2/13/2022,44,0,NA,NA
2/14/2022,45,0,NA,NA
2/15/2022,46,0,NA,NA
2/16/2022,47,0,NA,NA
2/17/2022,48,0,NA,NA
2/18/2022,49,0,NA,NA
2/19/2022,50,0,NA,NA
2/20/2022,51,0,NA,NA
2/21/2022,52,0,NA,NA
2/22/2022,53,0,NA,NA
2/23/2022,54,0,NA,NA
2/24/2022,55,0,NA,NA
2/25/2022,56,0,NA,NA
2/26/2022,57,0,NA,NA
2/27/2022,58,0,NA,NA
2/28/2022,59,0,NA,NA
3/1/2022,60,0,NA,NA
3/2/2022,61,0,NA,NA
3/3/2022,62,0,NA,NA
3/4/2022,63,0,NA,NA
3/5/2022,64,0,NA,NA
3/6/2022,65,0,NA,NA
3/7/2022,66,0,NA,NA
3/8/2022,67,0,NA,NA
3/9/2022,68,0,NA,NA
3/10/2022,69,0,NA,NA
3/11/2022,70,0,NA,NA
3/12/2022,71,0,NA,NA
3/13/2022,72,0,NA,NA
3/14/2022,73,0,NA,NA
3/15/2022,74,0,NA,NA
3/16/2022,75,0,NA,NA
3/17/2022,76,0,NA,NA
3/18/2022,77,0,NA,NA
3/19/2022,78,0,NA,NA
3/20/2022,79,0,NA,NA
3/21/2022,80,0,NA,NA
3/22/2022,81,0,NA,NA
3/23/2022,82,0,NA,NA
3/24/2022,83,0,NA,NA
3/25/2022,84,0,NA,NA
3/26/2022,85,0,NA,NA
3/27/2022,86,0,NA,NA
3/28/2022,87,0,NA,NA
3/29/2022,88,0,NA,NA
3/30/2022,89,0,NA,NA
3/31/2022,90,0,NA,NA
4/1/2022,91,0,NA,NA
4/2/2022,92,1,NA,NA
4/3/2022,93,1,NA,NA
4/4/2022,94,1,NA,NA
4/5/2022,95,1,NA,NA
4/6/2022,96,1,NA,NA
4/7/2022,97,1,NA,NA
4/8/2022,98,1,NA,NA
4/9/2022,99,1,NA,NA
4/10/2022,100,1,NA,NA
4/11/2022,101,1,NA,NA
4/12/2022,102,1,NA,NA
4/13/2022,103,1,NA,NA
4/14/2022,104,1,NA,NA
4/15/2022,105,1,NA,NA
4/16/2022,106,1,NA,NA
4/17/2022,107,1,NA,NA
4/18/2022,108,1,NA,NA
4/19/2022,109,1,NA,NA
4/20/2022,110,1,NA,NA
4/21/2022,111,1,NA,NA
4/22/2022,112,1,NA,NA
4/23/2022,113,1,NA,NA
4/24/2022,114,1,NA,NA
4/25/2022,115,1,NA,NA
4/26/2022,116,1,NA,NA
4/27/2022,117,1,NA,NA
4/28/2022,118,1,NA,NA
4/29/2022,119,1,NA,NA
4/30/2022,120,1,NA,NA
5/1/2022,121,1,NA,NA
5/2/2022,122,1,NA,NA
5/3/2022,123,1,NA,NA
5/4/2022,124,1,NA,NA
5/5/2022,125,1,NA,NA
5/6/2022,126,1,NA,NA
5/7/2022,127,1,NA,NA
5/8/2022,128,1,NA,NA
5/9/2022,129,1,NA,NA
5/10/2022,130,1,NA,NA
5/11/2022,131,1,NA,NA
5/12/2022,132,1,NA,NA
5/13/2022,133,1,NA,NA
5/14/2022,134,1,NA,NA
5/15/2022,135,1,NA,NA
5/16/2022,136,1,NA,NA
5/17/2022,137,1,NA,NA
5/18/2022,138,1,NA,NA
5/19/2022,139,1,NA,NA
5/20/2022,140,1,NA,NA
5/21/2022,141,1,NA,NA
5/22/2022,142,1,NA,NA
5/23/2022,143,1,NA,NA
5/24/2022,144,1,NA,NA
5/25/2022,145,1,NA,NA
5/26/2022,146,1,NA,NA
5/27/2022,147,1,NA,NA
5/28/2022,148,1,NA,NA
5/29/2022,149,1,NA,NA
5/30/2022,150,1,NA,NA
5/31/2022,151,1,NA,NA
6/1/2022,152,1,NA,NA
6/2/2022,153,1,NA,NA
6/3/2022,154,1,NA,NA
6/4/2022,155,1,NA,NA
6/5/2022,156,1,NA,NA
6/6/2022,157,1,NA,NA
6/7/2022,158,1,NA,NA
6/8/2022,159,1,NA,NA
6/9/2022,160,1,NA,NA
6/10/2022,161,1,NA,NA
6/11/2022,162,1,NA,NA
6/12/2022,163,1,NA,NA
6/13/2022,164,1,NA,NA
6/14/2022,165,1,NA,NA
6/15/2022,166,1,NA,NA
6/16/2022,167,1,NA,NA
6/17/2022,168,1,NA,NA
6/18/2022,169,1,NA,NA
6/19/2022,170,1,NA,NA
6/20/2022,171,1,NA,NA
6/21/2022,172,1,1,11
6/22/2022,173,1,2,10
6/23/2022,174,1,3,9
6/24/2022,175,1,4,8
6/25/2022,176,1,5,7
6/26/2022,177,1,6,6
6/27/2022,178,2,7,5
6/28/2022,179,2,8,4
6/29/2022,180,2,9,3
6/30/2022,181,2,10,2
7/1/2022,182,2,11,1
7/2/2022,183,2,12,0
7/3/2022,184,2,1,15
7/4/2022,185,2,2,14
7/5/2022,186,2,3,13
7/6/2022,187,2,4,12
7/7/2022,188,2,5,11
7/8/2022,189,2,6,10
7/9/2022,190,2,7,9
7/10/2022,191,2,8,8
7/11/2022,192,3,9,7
7/12/2022,193,3,10,6
7/13/2022,194,3,11,5
7/14/2022,195,3,12,4
7/15/2022,196,3,13,3
7/16/2022,197,3,14,2
7/17/2022,198,3,15,1
7/18/2022,199,3,16,0
7/19/2022,200,3,1,25
7/20/2022,201,3,2,24
7/21/2022,202,3,3,23
7/22/2022,203,3,4,22
7/23/2022,204,3,5,21
7/24/2022,205,3,6,20
7/25/2022,206,3,7,19
7/26/2022,207,3,8,18
7/27/2022,208,3,9,17
7/28/2022,209,3,10,16
7/29/2022,210,3,11,15
7/30/2022,211,3,12,14
7/31/2022,212,3,13,13
8/1/2022,213,4,14,12
8/2/2022,214,4,15,11
8/3/2022,215,4,16,10
8/4/2022,216,4,17,9
8/5/2022,217,4,18,8
8/6/2022,218,4,19,7
8/7/2022,219,4,20,6
8/8/2022,220,4,21,5
8/9/2022,221,4,22,4
8/10/2022,222,4,23,3
8/11/2022,223,4,24,2
8/12/2022,224,4,25,1
8/13/2022,225,4,26,0
8/14/2022,226,4,1,22
8/15/2022,227,4,2,21
8/16/2022,228,4,3,20
8/17/2022,229,4,4,19
8/18/2022,230,4,5,18
8/19/2022,231,4,6,17
8/20/2022,232,4,7,16
8/21/2022,233,4,8,15
8/22/2022,234,4,9,14
8/23/2022,235,4,10,13
8/24/2022,236,4,11,12
8/25/2022,237,5,12,11
8/26/2022,238,5,13,10
8/27/2022,239,5,14,9
8/28/2022,240,5,15,8
8/29/2022,241,5,16,7
8/30/2022,242,5,17,6
8/31/2022,243,5,18,5
9/1/2022,244,5,19,4
9/2/2022,245,5,20,3
9/3/2022,246,5,21,2
9/4/2022,247,5,22,1
9/5/2022,248,5,23,0
9/6/2022,249,5,1,17
9/7/2022,250,5,2,16
9/8/2022,251,5,3,15
9/9/2022,252,5,4,14
9/10/2022,253,5,5,13
9/11/2022,254,5,6,12
9/12/2022,255,5,7,11
9/13/2022,256,5,8,10
9/14/2022,257,5,9,9
9/15/2022,258,6,10,8
9/16/2022,259,6,11,7
9/17/2022,260,6,12,6
9/18/2022,261,6,13,5
9/19/2022,262,6,14,4
9/20/2022,263,6,15,3
9/21/2022,264,6,16,2
9/22/2022,265,6,17,1
9/23/2022,266,6,18,0
9/24/2022,267,6,1,26
9/25/2022,268,6,2,25
9/26/2022,269,6,3,24
9/27/2022,270,6,4,23
9/28/2022,271,6,5,22
9/29/2022,272,6,6,21
9/30/2022,273,6,7,20
10/1/2022,274,6,8,19
10/2/2022,275,6,9,18
10/3/2022,276,6,10,17
10/4/2022,277,6,11,16
10/5/2022,278,6,12,15
10/6/2022,279,6,13,14
10/7/2022,280,7,14,13
10/8/2022,281,7,15,12
10/9/2022,282,7,16,11
10/10/2022,283,7,17,10
10/11/2022,284,7,18,9
10/12/2022,285,7,19,8
10/13/2022,286,7,20,7
10/14/2022,287,7,21,6
10/15/2022,288,7,22,5
10/16/2022,289,7,23,4
10/17/2022,290,7,24,3
10/18/2022,291,7,25,2
10/19/2022,292,7,26,1
10/20/2022,293,7,27,0
10/21/2022,294,7,NA,NA
10/22/2022,295,7,NA,NA
10/23/2022,296,7,NA,NA
10/24/2022,297,7,NA,NA
10/25/2022,298,7,NA,NA
10/26/2022,299,7,NA,NA
10/27/2022,300,7,NA,NA
10/28/2022,301,7,NA,NA
10/29/2022,302,7,NA,NA
10/30/2022,303,7,NA,NA
10/31/2022,304,7,NA,NA
11/1/2022,305,0,NA,NA
11/2/2022,306,0,NA,NA
11/3/2022,307,0,NA,NA
11/4/2022,308,0,NA,NA
11/5/2022,309,0,NA,NA
11/6/2022,310,0,NA,NA
11/7/2022,311,0,NA,NA
11/8/2022,312,0,NA,NA
11/9/2022,313,0,NA,NA
11/10/2022,314,0,NA,NA
11/11/2022,315,0,NA,NA
11/12/2022,316,0,NA,NA
11/13/2022,317,0,NA,NA
11/14/2022,318,0,NA,NA
11/15/2022,319,0,NA,NA
11/16/2022,320,0,NA,NA
11/17/2022,321,0,NA,NA
11/18/2022,322,0,NA,NA
11/19/2022,323,0,NA,NA
11/20/2022,324,0,NA,NA
11/21/2022,325,0,NA,NA
11/22/2022,326,0,NA,NA
11/23/2022,327,0,NA,NA
11/24/2022,328,0,NA,NA
11/25/2022,329,0,NA,NA
11/26/2022,330,0,NA,NA
11/27/2022,331,0,NA,NA
11/28/2022,332,0,NA,NA
11/29/2022,333,0,NA,NA
11/30/2022,334,0,NA,NA
12/1/2022,335,0,NA,NA
12/2/2022,336,0,NA,NA
12/3/2022,337,0,NA,NA
12/4/2022,338,0,NA,NA
12/5/2022,339,0,NA,NA
12/6/2022,340,0,NA,NA
12/7/2022,341,0,NA,NA
12/8/2022,342,0,NA,NA
12/9/2022,343,0,NA,NA
12/10/2022,344,0,NA,NA
12/11/2022,345,0,NA,NA
12/12/2022,346,0,NA,NA
12/13/2022,347,0,NA,NA
12/14/2022,348,0,NA,NA
12/15/2022,349,0,NA,NA
12/16/2022,350,0,NA,NA
12/17/2022,351,0,NA,NA
