LC_Class,SubClass,CDLClass,CDLName,DateCode,Common
Cultivated Crops,1,1,LC_1,0,none
Cultivated Crops,1,1,LC_1,1,clover
Cultivated Crops,1,1,LC_1,1,corn
Cultivated Crops,1,1,LC_1,1,muscadine
Cultivated Crops,1,1,LC_1,1,plantain
Cultivated Crops,1,1,LC_1,2,clover
Cultivated Crops,1,1,LC_1,2,corn
Cultivated Crops,1,1,LC_1,2,other
Cultivated Crops,1,1,LC_1,2,pigweed
Cultivated Crops,1,1,LC_1,2,plantain
Cultivated Crops,1,1,LC_1,3,clover
Cultivated Crops,1,1,LC_1,3,corn
Cultivated Crops,1,1,LC_1,3,other
Cultivated Crops,1,1,LC_1,3,pigweed
Cultivated Crops,1,1,LC_1,3,plantain
Cultivated Crops,1,1,LC_1,4,other
Cultivated Crops,1,1,LC_1,4,pigweed
Cultivated Crops,1,1,LC_1,4,plantain
Cultivated Crops,1,1,LC_1,4,ragweed
Cultivated Crops,1,1,LC_1,5,other
Cultivated Crops,1,1,LC_1,5,pigweed
Cultivated Crops,1,1,LC_1,5,ragweed
Cultivated Crops,1,1,LC_1,6,other
Cultivated Crops,1,1,LC_1,6,pigweed
Cultivated Crops,1,1,LC_1,6,ragweed
Cultivated Crops,1,1,LC_1,7,other
"Developed, Open Space",4,121,LC_121,0,none
"Developed, Open Space",4,121,LC_121,1,chicory
"Developed, Open Space",4,121,LC_121,1,clover
"Developed, Open Space",4,121,LC_121,1,creeper
"Developed, Open Space",4,121,LC_121,1,crepe myrtle
"Developed, Open Space",4,121,LC_121,1,plantain
"Developed, Open Space",4,121,LC_121,1,plantain
"Developed, Open Space",4,121,LC_121,2,chicory
"Developed, Open Space",4,121,LC_121,2,clover
"Developed, Open Space",4,121,LC_121,2,creeper
"Developed, Open Space",4,121,LC_121,2,crepe myrtle
"Developed, Open Space",4,121,LC_121,2,goldenrod
"Developed, Open Space",4,121,LC_121,2,other
"Developed, Open Space",4,121,LC_121,2,pigweed
"Developed, Open Space",4,121,LC_121,2,plantain
"Developed, Open Space",4,121,LC_121,2,plantain
"Developed, Open Space",4,121,LC_121,3,chicory
"Developed, Open Space",4,121,LC_121,3,clover
"Developed, Open Space",4,121,LC_121,3,creeper
"Developed, Open Space",4,121,LC_121,3,crepe myrtle
"Developed, Open Space",4,121,LC_121,3,goldenrod
"Developed, Open Space",4,121,LC_121,3,other
"Developed, Open Space",4,121,LC_121,3,pigweed
"Developed, Open Space",4,121,LC_121,3,plantain
"Developed, Open Space",4,121,LC_121,3,plantain
"Developed, Open Space",4,121,LC_121,4,chicory
"Developed, Open Space",4,121,LC_121,4,crepe myrtle
"Developed, Open Space",4,121,LC_121,4,goldenrod
"Developed, Open Space",4,121,LC_121,4,lily
"Developed, Open Space",4,121,LC_121,4,other
"Developed, Open Space",4,121,LC_121,4,pigweed
"Developed, Open Space",4,121,LC_121,4,plantain
"Developed, Open Space",4,121,LC_121,4,plantain
"Developed, Open Space",4,121,LC_121,4,ragweed
"Developed, Open Space",4,121,LC_121,4,sumac
"Developed, Open Space",4,121,LC_121,5,goldenrod
"Developed, Open Space",4,121,LC_121,5,lily
"Developed, Open Space",4,121,LC_121,5,marshelder
"Developed, Open Space",4,121,LC_121,5,other
"Developed, Open Space",4,121,LC_121,5,pigweed
"Developed, Open Space",4,121,LC_121,5,ragweed
"Developed, Open Space",4,121,LC_121,5,sumac
"Developed, Open Space",4,121,LC_121,6,goldenrod
"Developed, Open Space",4,121,LC_121,6,lily
"Developed, Open Space",4,121,LC_121,6,marshelder
